time,low,high,open,close,volume,Date,Return,RealizedVariance,RV,AnnualizedVariance,AnnualizedRV,TotalVolume,candles,dLogRV
2016-01-01T00:00:00Z,430.35,430.4,430.35,430.39,17.1732,2016-01-01,9.294328142939179e-5,4.5674050187997635e-4,0.02137148805956142,0.16671028318619135,0.40830170607798266,3863.27745054,287,0
2016-01-02T00:00:00Z,435.67,435.94,435.67,435.89,6.6596,2016-01-02,5.277953194635643e-4,1.4478387612202996e-4,0.012032617176742139,0.05284611478454093,0.22988282838120147,3276.70962113,288,-0.5744366395153042
2016-01-03T00:00:00Z,435.19,435.49,435.4,435.39,15.85482,2016-01-03,-2.2967650065375267e-5,3.346138989334983e-4,0.018292454699506525,0.12213407311072688,0.34947685633061154,3904.33531811,288,0.4188676028197271
2016-01-04T00:00:00Z,431.37,431.9,431.9,431.46,5.2753,2016-01-04,-0.0010424268639166456,1.3035108091658912e-4,0.011417139787030248,0.04757814453455503,0.2181241493612182,5894.44572317,288,-0.4713729469400487
2016-01-05T00:00:00Z,433.64,433.85,433.84,433.64,22.75743116,2016-01-05,-4.8415544640789676e-4,9.325587015755746e-5,0.009656907898367751,0.034038392607508475,0.18449496634734638,5150.10947569,288,-0.16744221273424387
2016-01-06T00:00:00Z,433.01,433.32,433.32,433.01,9.3799,2016-01-06,-7.618168545269199e-4,1.1961394476198203e-4,0.010936816024875888,0.043659089838123444,0.20894757677016368,5476.95995944,288,0.12446121121290865
2016-01-07T00:00:00Z,430.64,431.42,430.66,431.17,17.66698,2016-01-07,6.960234144850475e-4,7.309412060253659e-4,0.027035924360475746,0.26679354019925855,0.5165206096558573,13907.20172902,288,0.9050317986407879
2016-01-08T00:00:00Z,458,459.07,459.07,458.05,47.11717561,2016-01-08,-0.0022243554181775593,8.005400649442131e-4,0.028293816726348765,0.2921971237046378,0.5405526095623235,8347.0950396,288,0.04547677704105313
2016-01-09T00:00:00Z,454.16,454.49,454.41,454.38,3.1969,2016-01-09,-1.3203934791761185e-4,2.2694790838984752e-4,0.015064790353332087,0.08283598656229435,0.2878124155805207,4247.63965095,288,-0.6302830341975119
2016-01-10T00:00:00Z,450.39,451.39,450.39,451.39,13.5127,2016-01-10,0.0022400399710118535,2.278752899839334e-4,0.015095538744408343,0.08317448084413569,0.28839986276719287,3954.32239952,288,0.0020389964333382693
2016-01-11T00:00:00Z,449.98,450.05,449.99,450.05,79.64060814,2016-01-11,1.33327407867867e-4,1.4105324319096263e-4,0.01187658381820979,0.05148443376470136,0.22690181525210715,5597.63718315,288,-0.2398305375853269
2016-01-12T00:00:00Z,449.25,449.44,449.26,449.25,11.6196,2016-01-12,1.3356484593085582e-4,4.6355718472539955e-4,0.02153037818352013,0.16919837242477084,0.41133729763391363,6596.94545292,286,0.594896161451083
2016-01-13T00:00:00Z,431.54,436.04,434.01,435.79,140.12438421,2016-01-13,0.004092900631995633,9.120894763429319e-4,0.03020081913364159,0.33291265886517013,0.5769858393974415,9009.15070912,287,0.33840417100022124
2016-01-14T00:00:00Z,432.69,432.83,432.7,432.69,11.7877,2016-01-14,-1.848727849420584e-4,1.8556851083528886e-4,0.013622353351579486,0.06773250645488044,0.2602546953560693,5673.63296245,286,-0.7961569753884157
2016-01-15T00:00:00Z,430.04,430.29,430.04,430.18,9.33008912,2016-01-15,3.487520524538823e-4,0.007910250997750536,0.08893959184609819,2.8872416141789454,1.6991885163744915,28641.67358553,270,1.8762453237242678
2016-01-16T00:00:00Z,357.59,365,357.59,362.92,270.43648738,2016-01-16,0.01496314960420797,0.005697227395073287,0.0754799800945475,2.0794879992017496,1.4420429949213545,17985.23878449,288,-0.16408993919727521
2016-01-17T00:00:00Z,385.36,388.92,388.7,385.36,111.12744000000001,2016-01-17,-0.008629875536211529,0.0010334655043366164,0.03214755829509632,0.377214909082865,0.6141782388548661,8278.40179348,288,-0.8535309562579765
